Crossover Operator,Time Elapsed,Final Fitness,Final Cost,Number of Iterations,Final Quantity,Number of Requirements met
Single Point,2.602022409439087,41853.67372679024,16214.999999999996,300,826,2
Single Point,2.499018430709839,39136.50542288469,15664.500000000007,300,772,3
Single Point,2.797700881958008,39825.515710644984,18555.749999999985,300,782,3
Single Point,2.6402225494384766,43572.60561884714,18911.249999999985,300,857,3
Single Point,2.7130587100982666,45245.59265478418,17194.5,300,893,3
Single Point,2.6319057941436768,43507.1576763992,16440.000000000007,300,859,3
Single Point,2.650451898574829,42880.79018720671,19705.500000000004,300,842,4
Single Point,2.72625470161438,44667.931338247865,16721.99999999997,300,882,3
Single Point,2.8484318256378174,39192.45748043675,15015.000000000013,300,774,4
Single Point,2.8234779834747314,41395.662410253935,17537.250000000033,300,815,2
Single Point,2.7646942138671875,44217.32105048757,17410.49999999998,300,872,2
Single Point,2.832458972930908,42974.44121598273,20365.49999999996,300,843,4
Single Point,2.730160713195801,44912.28648212801,16663.499999999996,300,887,3
Single Point,2.5779106616973877,43373.55150374302,18904.500000000025,300,853,4
Single Point,2.773829936981201,38827.02527900455,14744.250000000002,300,767,4
Single Point,2.7271180152893066,40954.40520882173,16131.750000000022,300,808,3
Single Point,2.833486795425415,43890.66282027934,18468.75000000002,300,864,4
Single Point,2.9099931716918945,44713.07516559168,21867.749999999993,300,876,4
Single Point,2.7768781185150146,41937.973726790246,17479.500000000015,300,826,4
Single Point,2.802095413208008,43430.053561295084,18262.49999999998,300,855,3
Single Point,2.798224687576294,35669.837523666785,12794.25,300,706,2
Single Point,2.9050540924072266,44372.42413681566,17502.750000000033,300,875,4
Single Point,2.7572224140167236,41813.27372679024,15609.000000000002,300,826,2
Single Point,2.835635185241699,36831.686185515464,13100.999999999985,300,729,4
Single Point,2.8058278560638428,39891.42188330115,15078.000000000005,300,788,3
Single Point,2.884944438934326,43287.703561295086,16127.250000000022,300,855,2
Single Point,2.8079798221588135,37307.920444499716,13545.000000000025,300,738,4
Single Point,2.8119547367095947,42151.425784342304,19191.749999999967,300,828,3
Single Point,2.8539233207702637,37518.52044449972,16704.0,300,738,3
Single Point,2.769214153289795,39209.35748043675,15268.500000000025,300,774,3
Single Point,2.8947408199310303,37891.63073226,14856.749999999967,300,748,4
Single Point,2.979360818862915,41907.76755413407,21495.000000000015,300,820,2
Single Point,3.08032488822937,44248.37002171154,18620.999999999953,300,871,4
Single Point,2.6739633083343506,41646.92269801422,13858.500000000035,300,825,4
Single Point,2.9961562156677246,42901.89224475876,18532.500000000007,300,844,4
Single Point,2.8764383792877197,42005.02475556627,17740.49999999998,300,827,3
Single Point,2.792152166366577,43952.16693538346,16412.250000000007,300,868,5
Single Point,2.7929229736328125,41439.11652535805,15210.0,300,819,4
Single Point,2.7342207431793213,43360.701503743025,18711.749999999978,300,853,2
