Initialization Method,Time Elapsed,Final Fitness,Final Cost,Number of Iterations,Final Quantity,Number of Requirements met
Random,11.452595949172974,39353.65542288469,18921.750000000033,500,772,4
Random,12.038891792297363,39393.28556676483,15794.249999999984,500,777,4
Random,11.4989492893219,40355.25614228542,15335.99999999999,500,797,5
Random,12.051311016082764,38389.39307757235,13390.499999999996,500,760,3
Random,13.42275881767273,40872.405208821736,14901.749999999969,500,808,3
Random,13.115248441696167,39795.695854525125,14386.499999999989,500,787,3
Random,13.273088455200195,33955.65254528182,12390.74999999998,500,672,2
Random,12.858311176300049,35583.43340856268,14475.749999999973,500,702,3
Random,12.83029055595398,40782.45212249364,15786.750000000004,500,805,3
Random,12.71928334236145,39981.54379697306,18662.99999999998,500,785,3
Random,12.894975185394287,36764.153984083256,17298.749999999978,500,722,5
Random,12.858279943466187,41225.863439029956,14245.499999999965,500,816,3
Random,12.749265193939209,35099.275178354445,13168.500000000005,500,694,3
Random,12.668085098266602,41023.50932392585,14189.250000000016,500,812,3
Random,12.721021890640259,42630.99121598274,15213.750000000005,500,843,2
Random,12.704569578170776,41969.07681311833,15711.750000000004,500,829,3
Random,12.798197507858276,45231.24368356021,16234.499999999976,500,894,2
Random,12.641513347625732,34791.542976922254,13763.250000000016,500,687,2
Random,12.967317581176758,30457.954502183777,12777.00000000001,500,601,1
Random,12.845669984817505,38874.273221452495,16941.74999999996,500,765,3
Random,12.860472679138184,38522.29102002029,16872.749999999975,500,758,3
Random,13.76535964012146,41052.90726637379,16119.75000000001,500,810,4
Random,14.132260084152222,40328.45819983747,13445.25000000003,500,799,2
Random,16.594607830047607,40038.97599840527,14313.75,500,792,2
Random,14.498927354812622,40039.07394085321,15803.999999999982,500,790,2
Random,15.858625650405884,38110.83484736412,15167.249999999987,500,752,3
Random,14.837289333343506,40470.946978613494,14838.000000000022,500,800,3
Random,16.632719039916992,40924.7041800457,16431.00000000002,500,807,3
Random,15.545690298080444,40079.94791207719,17161.49999999995,500,789,2
Random,14.625537872314453,37720.19853082781,17496.000000000004,500,741,4
Random,15.601232051849365,39225.751307780585,19980.750000000007,500,768,4
Random,15.138224363327026,39974.471883301165,16323.74999999998,500,788,2
Random,15.762696743011475,35746.78546611474,15437.250000000016,500,704,2
Random,16.325588941574097,41755.57269801423,15488.250000000013,500,825,3
Random,19.03157067298889,40763.250064941596,16988.250000000004,500,803,4
Random,17.604705810546875,34822.56900569827,13484.249999999996,500,688,3
Random,16.277979850769043,40321.830113509386,15579.000000000036,500,796,4
Random,14.855860948562622,38944.827336556606,15022.500000000007,500,769,3
Random,13.824471235275269,33760.672401401665,13188.000000000005,500,667,2
Random,13.747065544128418,40448.658199837475,15248.249999999984,500,799,4
