Elite Size,Time Elapsed,Final Fitness,Final Cost,Number of Iterations,Final Quantity,Number of Requirements met
0,6.486512660980225,65797.83708286063,26792.999999999945,300,1294,5
0,6.611445665359497,66559.243460942,25550.249999999978,300,1311,6
0,6.717442750930786,63458.04222839077,28197.749999999978,300,1245,5
0,7.193071365356445,63753.10004692358,22939.50000000006,300,1258,4
0,7.158118009567261,63658.90292782646,27485.999999999953,300,1250,6
0,6.9248902797698975,62631.961570535095,29960.249999999985,300,1226,4
0,6.95317816734314,64028.524326697865,25580.999999999993,300,1260,7
0,6.957991123199463,58053.89182001536,23863.499999999993,300,1142,6
0,6.940210580825806,63537.31362726218,21937.499999999993,300,1255,3
0,7.022125720977783,63815.163627262176,26105.250000000062,300,1255,6
0,7.064141035079956,65032.767124440674,25746.000000000036,300,1280,7
0,7.19171404838562,69969.31897326751,26046.0,300,1379,7
0,7.7565014362335205,64103.18790703645,28935.749999999975,300,1257,7
0,7.725558280944824,64049.96362726218,29627.24999999999,300,1255,6
0,7.678978204727173,63245.204368277904,24260.250000000004,300,1246,4
0,7.839375257492065,66378.92062161915,27315.000000000055,300,1305,5
0,7.678215026855469,66931.76774071627,29648.250000000044,300,1313,5
0,7.693364381790161,64908.867124440665,23887.5,300,1280,6
0,7.838003158569336,69226.500455299,28312.49999999996,300,1361,7
0,7.600637197494507,63175.95436827791,23221.499999999953,300,1246,6
0,7.69472599029541,66273.22062161917,25729.49999999999,300,1305,4
0,7.632057428359985,63659.26506771361,26746.50000000004,300,1251,6
0,7.673163890838623,65763.7613626349,24792.000000000044,300,1296,5
0,7.677364110946655,64090.92288624643,23537.25000000003,300,1264,6
0,7.6943347454071045,64893.2292643278,22907.999999999978,300,1281,6
0,7.664174318313599,58721.03749866103,24931.500000000033,300,1154,4
0,7.693427324295044,67190.57699970053,26825.999999999953,300,1322,6
0,7.569206237792969,58141.02968012822,25915.499999999935,300,1141,6
0,7.553869724273682,68090.85909800764,29156.250000000015,300,1337,7
0,7.756992340087891,65797.03708286062,26781.000000000047,300,1294,5
0,7.600675344467163,67361.86341936197,27160.50000000008,300,1325,5
0,7.929715871810913,65451.33852331206,24575.25000000002,300,1290,4
0,7.633145570755005,66512.09634184488,30802.500000000033,300,1303,5
0,7.645234823226929,63405.5286480522,25175.249999999964,300,1248,6
0,7.592801332473755,67743.78625868479,28419.75000000004,300,1331,6
0,7.617198467254639,66397.98132105486,23876.250000000025,300,1310,6
0,7.5673840045928955,66640.46918116772,28258.500000000015,300,1309,5
0,7.644477128982544,64574.22144579499,27807.000000000073,300,1268,5
0,7.932335615158081,66282.1220620706,28842.749999999985,300,1301,5
0,7.960538387298584,56872.02474249828,22524.00000000002,300,1120,5
0,7.708972215652466,59701.24387674241,26970.74999999995,300,1171,6
0,7.676077842712402,52801.04388486042,21045.749999999956,300,1040,6
0,8.149099826812744,68191.7076575562,27689.249999999967,300,1341,7
0,7.772755146026611,67116.85127947482,24230.249999999978,300,1324,5
0,7.630768537521362,58493.925358773886,22269.749999999996,300,1153,6
0,7.662274360656738,64830.07000534356,28665.000000000062,300,1272,5
0,7.674829959869385,61034.39593346948,25365.000000000025,300,1200,6
0,7.647741317749023,64439.133585682124,25035.750000000022,300,1269,4
0,7.583022594451904,61649.50375200229,24907.500000000047,300,1213,7
0,7.725269794464111,68276.86979744335,28221.74999999998,300,1342,7
1,7.784668684005737,45124.38956845609,17610.750000000073,300,890,4
1,7.535722732543945,41458.110352701886,19963.500000000022,300,813,4
1,7.521615505218506,45171.99059723212,17579.999999999967,300,891,2
1,7.645262002944946,45800.651913768445,18817.49999999998,300,902,5
1,7.692963361740112,45657.24574111226,21134.999999999978,300,896,4
1,7.66506028175354,49981.48730217883,19714.499999999978,300,985,6
1,7.7416722774505615,41387.70932392585,19652.249999999975,300,812,4
1,7.771238327026367,48812.061582778115,20792.249999999993,300,960,2
1,7.746495246887207,46469.56117275271,22148.250000000015,300,911,5
1,7.7260901927948,40936.10212249364,18091.500000000044,300,805,3
1,7.597363471984863,45643.65294254446,15717.749999999998,300,903,2
1,7.568739652633667,47096.629690721216,18148.500000000007,300,929,4
