Penalty Size,Time Elapsed,Final Fitness,Final Cost,Number of Iterations,Final Quantity,Number of Requirements met
10,9.353132009506226,29701.377765986043,11882.250000000018,300,587,3
10,9.521151304244995,28641.56449502277,11603.249999999989,300,566,3
10,6.497258186340332,30556.140199622976,12056.999999999984,300,604,2
10,5.854885816574097,32323.814066896844,13260.000000000018,300,638,1
10,6.01245641708374,30796.666536949313,12686.999999999993,300,608,1
10,5.883906602859497,31702.253470586245,13614.750000000027,300,625,2
10,5.874725341796875,32511.121988554758,12347.249999999995,300,643,4
10,6.037149906158447,29344.788259996538,10995.749999999985,300,581,3
10,6.103928327560425,31427.56396459674,13961.249999999985,300,619,4
10,6.489022254943848,26994.924737080488,11445.750000000005,300,533,2
10,5.888827323913574,30046.49885630713,11853.000000000002,300,594,2
10,6.40422797203064,28795.25924801752,11677.49999999999,300,569,3
10,6.791231393814087,30351.89544662822,11226.749999999989,300,601,4
10,6.877060890197754,27395.186496064747,10756.500000000033,300,542,3
10,6.64070200920105,25669.447628790884,10155.74999999998,300,508,3
10,6.5750017166137695,30481.51386229664,13915.49999999997,300,600,2
10,6.619665145874023,30828.266536949315,13161.000000000007,300,608,2
10,6.655305624008179,29446.18825999654,12516.750000000024,300,581,3
10,6.576011896133423,28284.656573364846,9968.24999999998,300,561,0
10,6.65389084815979,28915.204001012276,11245.500000000004,300,572,4
10,6.663963556289673,33517.603675186445,12555.0,300,663,1
10,6.756058216094971,30154.493609301884,11241.750000000011,300,597,3
10,7.57575798034668,30669.084952617723,11517.749999999995,300,607,4
10,7.610328674316406,27313.436496064747,9530.250000000005,300,542,1
10,6.964942932128906,31320.113964596734,12349.49999999998,300,619,1
10,7.996745586395264,28231.643404701677,10660.499999999996,300,559,1
10,7.462925672531128,31213.56921160199,12984.750000000033,300,616,4
10,6.660511493682861,30620.803368286142,11537.999999999996,300,606,3
10,6.565863132476807,32485.758819891595,13455.750000000005,300,641,2
10,6.541803359985352,31042.429705612478,14884.500000000025,300,610,3
10,6.591396808624268,29116.330338338612,11287.5,300,576,2
10,6.82954478263855,27039.674737080488,12117.000000000011,300,533,1
10,6.611939430236816,31874.142976575753,11726.25,300,631,3
10,6.938319206237793,26875.474737080487,9654.000000000002,300,533,2
10,6.791274070739746,28498.96974202802,11695.499999999982,300,563,2
